EquableClassID,State,Retirement System Name,Plan_Name,Occupation,Occupation_Categories,Class_Name,Tier_HireDates,Plan_Type ,"DB COLA, Amount Provisions","DB COLA, Accumulation Provision (Simple = 0, Compounding = 1)","DB COLA, Policy Provisions",COLA_Amount,"DB COLA, Distribution Provision (Automatic, Ad Hoc, Specially Funded Account, No Provision)","Risk-Sharing Tool Related to Benefits (No = 0, Yes = 1)",Risk-Sharing Tool Details,Social Security Coverage,"Choice Structure (Mandatory = 0, Opt-Out = 1, Opt-In = 2)",Choices Available (by Plan ID),"DC Default into Target Date Funds or Target Retirement Funds (Depends on Provider = 0, Yes = 1, No = 2)",GR Crediting/Interest Rate,FAS Benefit Supplement Binary,Legacy_Plan,Municipal_Plan,Annuity_Access
20020200,Maine,Maine Public Employees Retirement System,Maine Public Employees Retirement System - State Employee and Teacher Program,state general employees,State General Employees,ME PERS State General,"hired on or after July 1, 2006",FAS,"Up to 3.0%, simple, limited to first $20,000 of benefit",0,Linked to inflation,0.0225,Automatic,1,Auto-Adjusted COLA Pegged to Invesment Returns,No,0,,,,0,0,0,
20020300,Maine,Maine Public Employees Retirement System,Maine Public Employees Retirement System - State Employee and Teacher Program,state police,State Police,ME PERS State Police,"hired on or after September 16, 1984",FAS,"Up to 3.0%, simple, limited to first $20,000 of benefit",0,Linked to inflation,0.0225,Automatic,1,Auto-Adjusted COLA Pegged to Invesment Returns,No,0,,,,0,0,0,
21010100,Maryland,Maryland State Retirement and Pension System ,Maryland State Retirement and Pension System - Employees Combined System,state general employees,State General Employees,MD SPRS General,"hired on or after July 1, 2011",FAS,"Up to 2.5%, simple",0,Linked to inflation,0.01875,Automatic,0,,Yes,0,,,,1,0,0,
21010200,Maryland,Maryland State Retirement and Pension System ,Maryland State Retirement and Pension System - Teachers' Combined System,public school teachers,Public School Teachers,MD SRPS Teachers,"hired on or after July 1, 2011",FAS,"Up to 2.5%, simple",0,Linked to inflation,0.01875,Automatic,0,,Yes,0,,,,1,0,0,
22010100,Massachusetts,Massachusetts State Employees Retirement System,Massachusetts State Employees’ Retirement System,state general employees,State General Employees,MA SERS General,"hired on or after April 1, 2012",FAS,"Up to 2.5%, simple",0,Linked to inflation,0.01875,Automatic,0,,No,0,,,,1,0,0,
22010200,Massachusetts,Massachusetts State Employees Retirement System,Massachusetts State Employees’ Retirement System,correctional officers,Correctional Officers,MA SERS Corrections,"hired on or after April 1, 2012",FAS,"Up to 2.5%, simple",0,Linked to inflation,0.01875,Automatic,0,,No,0,,,,1,0,0,
22010300,Massachusetts,Massachusetts State Employees Retirement System,Massachusetts State Employees’ Retirement System,state public safety employees,State Public Safety Employees,MA SERS Hazardous Duty,"hired on or after April 1, 2012",FAS,"Up to 3.0%, simple, limited to first $20,000 of benefit",0,Linked to inflation,0.0225,Automatic,0,,No,0,,,,1,0,0,
22010400,Massachusetts,Massachusetts State Employees Retirement System,Massachusetts State Employees’ Retirement System,state police,State Police,MA SERS State Police,"hired on or after April 1, 2012",FAS,"Up to 3.0%, simple, limited to first $20,000 of benefit",0,Linked to inflation,0.0225,Automatic,0,,No,0,,,,1,0,0,
22020100,Massachusetts,Massachusetts Teachers Retirement System,Massachusetts Teachers’ Retirement System,public school teachers,Public School Teachers,MA TRS,"hired on or after April 1, 2012",FAS,"Up to 3.0%, simple, limited to first $20,000 of benefit",0,Linked to inflation,0.0225,Automatic,0,,No,0,,,,0,0,0,
23010130,Michigan,Michigan Public School Employees’ Retirement System,Michigan Public School Employees’ Retirement System - Defined Contribution Plan,public school teachers,Public School Teachers,MPSERS DC Teachers,"hired on or after February 1, 2018",DC,,,,,,0,DC Plan Has No Risk,Yes,1,23010192,1,,0,0,0,0
23010192,Michigan,Michigan Public School Employees’ Retirement System,Michigan Public School Employees’ Retirement System - Pension Plus Plan 2,public school teachers,Public School Teachers,MPSERS Pension Plus 2 Teachers,"hired on or after February 1, 2018",Hybrid,No COLA,0,No COLA,0,No provision,1,Hybrid Plan,Yes,2,23010130,1,,0,0,0,
23010230,Michigan,Michigan Public School Employees’ Retirement System,Michigan Public School Employees’ Retirement System - Defined Contribution Plan,public school non-instructional employees,Public School Non-Instructional,MPSERS DC Non-Instructional,"hired on or after February 1, 2018",DC,,,,,,0,DC Plan Has No Risk,Yes,1,23010292,1,,0,0,0,0
23010292,Michigan,Michigan Public School Employees’ Retirement System,Michigan Public School Employees’ Retirement System - Pension Plus Plan 2,public school non-instructional employees,Public School Non-Instructional,MPSERS Pension Plus 2 Non-Instructional,"hired on or after February 1, 2018",Hybrid,No COLA,0,No COLA,0,No provision,1,Hybrid Plan,Yes,2,23010230,1,,0,0,0,
23020132,Michigan,Michigan State Employees' Retirement System,Michigan State Employees’ Retirement System,state general employees,State General Employees,MI SERS DC,"hired on or after April 1, 1997",DC,,,,,,0,DC Plan Has No Risk,Yes,0,,1,,0,0,0,0
23030191,Michigan,Michigan State Police Retirement System,Michigan State Police Retirement System - Pension Plus Plan,state police,State Police,MI SPRS State Police Pension Plus,"hired on or after June 10, 2012",Hybrid,"Fixed 2%, simple",0,Fixed,0.02,Automatic,1,Hybrid Plan,Yes,2,23020132,1,,0,0,0,
24010100,Minnesota,Minnesota State Employees Retirement System,Minnesota State Employees Retirement Fund,state general employees,State General Employees,MN SERS,"hired on or after July 1, 2010",FAS,"Fixed 1.5%, compounded, starting in 2024",1,Fixed,0.015,Automatic,0,,Yes,0,,,,1,0,0,
24020100,Minnesota,Minnesota Teachers Retirement Association,Minnesota Teachers Retirement Association,public school teachers,Public School Teachers,MN TRA,"hired on or after July 1, 1989",FAS,"Fixed 1.5%, compounded, starting in 2024",1,Fixed,0.015,Automatic,0,,Yes,0,,,,0,0,0,
24030100,Minnesota,Public Employees Retirement Association of Minnesota,Minnesota General Employees Retirement Plan,local general employees,Local General Employees,MN PERA General,"hired on or after July 1, 2010",FAS,"Up to 1.5%, compounding",1,Linked to inflation,0.01125,Automatic,0,,Yes,0,,,,1,0,0,
24030200,Minnesota,Public Employees Retirement Association of Minnesota,Minnesota Public Employees Police & Fire Plan,state and local police and firefighters,"State Police and Firefighters, Local Police and Firefighters",MN PERA Police & Fire,"hired on or after July 1, 2010",FAS,"Fixed 1.0%, compounded",1,Fixed,0.01,Automatic,0,,No,0,,,,0,0,0,
25010100,Mississippi,Mississippi Public Employees Retirement System,Public Employees’ Retirement System of Mississippi,state and local general employees,"State General Employees, Local General Employees",MS PERS General,"hired on or after July 1, 2011",FAS,"Fixed 3%, compounded",1,Fixed,0.03,Automatic,0,,Yes,0,,,,1,0,0,
25010200,Mississippi,Mississippi Public Employees Retirement System,Public Employees’ Retirement System of Mississippi,public school teachers,Public School Teachers,MS PERS Teachers,"hired on or after July 1, 2011",FAS,"Fixed 3%, compounded",1,Fixed,0.03,Automatic,0,,Yes,0,,,,1,0,0,
25010300,Mississippi,Mississippi Public Employees Retirement System,Public Employees’ Retirement System of Mississippi,state and local police and firefighters,"State Police and Firefighters, Local Police and Firefighters",MS PERS Police & Fire,"hired on or after July 1, 2011",FAS,"Fixed 3%, compounded",1,Fixed,0.03,Automatic,0,,Yes,0,,,,1,0,0,
26010100,Missouri,Missouri DOT and Highway Patrol Employees' Retirement System,Missouri Department of Transportation and Highway Patrol Employees' Retirement System,state police,State Police,MO DOT Uniformed,"hired on or after January 1, 2011",FAS,"Up to 5%, compounded",0,Linked to inflation,0.0375,Automatic,0,,Yes,0,,,,1,0,0,
26010200,Missouri,Missouri DOT and Highway Patrol Employees' Retirement System,Missouri Department of Transportation and Highway Patrol Employees' Retirement System,state public safety employees,State Public Safety Employees,MO DOT Non-Uniformed,"hired on or after January 1, 2011",FAS,"Up to 5%, compounded",0,Linked to inflation,0.0375,Automatic,0,,Yes,0,,,,1,0,0,
26020106,Missouri,Missouri Local Government Employees Retirement System,Missouri Local Government Employees Retirement System,local general employees,Local General Employees,MO LGERS General L6,hired after 1986,FAS,"Up to 4%, simple",0,Linked to inflation,0.03,Automatic,0,,Mixed,0,,,,0,0,0,
26020107,Missouri,Missouri Local Government Employees Retirement System,Missouri Local Government Employees Retirement System,local general employees,Local General Employees,MO LGERS General L7,hired after 1987,FAS,"Up to 4%, simple",0,Linked to inflation,0.03,Automatic,0,,Mixed,0,,,,0,0,0,
26020112,Missouri,Missouri Local Government Employees Retirement System,Missouri Local Government Employees Retirement System,local general employees,Local General Employees,MO LGERS General L12,hired after 2004,FAS,"Up to 4%, simple",0,Linked to inflation,0.03,Automatic,0,,Mixed,0,,,,0,0,0,
26020206,Missouri,Missouri Local Government Employees Retirement System,Missouri Local Government Employees Retirement System,local firefighters,Local Firefighters,MO LGERS Fire L6,hired after 1986,FAS,"Up to 4%, simple",0,Linked to inflation,0.03,Automatic,0,,Mixed,0,,,,0,0,0,
26020207,Missouri,Missouri Local Government Employees Retirement System,Missouri Local Government Employees Retirement System,local firefighters,Local Firefighters,MO LGERS Fire L7,hired after 1987,FAS,"Up to 4%, simple",0,Linked to inflation,0.03,Automatic,0,,Mixed,0,,,,0,0,0,
26020212,Missouri,Missouri Local Government Employees Retirement System,Missouri Local Government Employees Retirement System,local firefighters,Local Firefighters,MO LGERS Fire L12,hired after 2004,FAS,"Up to 4%, simple",0,Linked to inflation,0.03,Automatic,0,,Mixed,0,,,,0,0,0,
26020306,Missouri,Missouri Local Government Employees Retirement System,Missouri Local Government Employees Retirement System,local police,Local Police,MO LGERS Police L6,hired after 1986,FAS,"Up to 5%, compounded",0,Linked to inflation,0.0375,Automatic,0,,Mixed,0,,,,0,0,0,
26020307,Missouri,Missouri Local Government Employees Retirement System,Missouri Local Government Employees Retirement System,local police,Local Police,MO LGERS Police L7,hired after 1987,FAS,"Up to 4%, simple",0,Linked to inflation,0.03,Automatic,0,,Mixed,0,,,,0,0,0,
26020312,Missouri,Missouri Local Government Employees Retirement System,Missouri Local Government Employees Retirement System,local police,Local Police,MO LGERS Police L12,hired after 2004,FAS,"Up to 4%, simple",0,Linked to inflation,0.03,Automatic,0,,Mixed,0,,,,0,0,0,
26030100,Missouri,Missouri Public Education Employee Retirement System,Missouri Public Education Employee Retirement System,public school non-instructional employees,Public School Non-Instructional,MO PEERS,"hired on or after July 1, 2014",FAS,"Up to 5%, simple",0,Linked to inflation,0.0375,Automatic,0,,Yes,0,,,,0,0,0,
26040100,Missouri,Missouri Public School Retirement System,Missouri Public School Retirement System,public school teachers,Public School Teachers,MO PSRS Teachers,"Retire after July 1, 2013",FAS,"Up to 5%, simple",0,Linked to inflation,0.0375,Automatic,0,,No,0,,,,0,0,0,
26050100,Missouri,Missouri State Employees’ Retirement System,Missouri State Employees’ Retirement System,state general employees,State General Employees,MO SERS,"hired on or after January 1, 2011",FAS,"Up to 5%, simple",0,Linked to inflation,0.0375,Automatic,0,,Yes,0,,,,1,0,0,
27010100,Montana,Montana Public Employees' Retirement Administration,Montana Public Employees' Retirement System,state and local general employees,"State General Employees, Local General Employees",MT PERS Pension,"hired on or after July 1, 2011",FAS,"Up to 1.5%, simple",0,Linked to funded status,0.01125,Automatic,1,Auto-Adjusted COLA Pegged to Funded Status,Yes,1,27010130,,,1,0,0,
27010130,Montana,Montana Public Employees' Retirement Administration,Montana PERS Defined Contribution Retirement Plan,state and local general employees,"State General Employees, Local General Employees",MT PERS DC,"hired on or after July 1, 2000",DC,,,,,,0,DC Plan Has No Risk,Yes,2,27010100,1,,1,0,0,0
27020100,Montana,Montana Teachers' Retirement System,Montana Teachers' Retirement System,public school teachers,Public School Teachers,MT TRS K-12,"hired on or after July 1, 2013",FAS,"Fixed  0.5%, simple",0,Fixed,0.005,Automatic,0,,Yes,0,,,,0,0,0,
27020200,Montana,Montana Teachers' Retirement System,Montana Teachers' Retirement System,higher education faculty and non-instructional employees,"Higher Education Faculty, Non-Instructional",MT TRS University,"hired on or after July 1, 2013",FAS,"Fixed  0.5%, simple",0,Fixed,0.005,Automatic,0,,Yes,0,,,,0,0,0,
28010100,Nebraska,Nebraska Public Employees Retirement Systems,Nebraska Public Employees Retirement Systems - School Employees Plan,public school teachers,Public School Teachers,NE PERS School Division,"hired on or after July 1, 2018",FAS,"Up to 1%, simple",0,Linked to inflation,0.0075,Automatic,0,,Yes,0,,,,0,0,0,
28010260,Nebraska,Nebraska Public Employees Retirement Systems,Nebraska Public Employees Retirement System - State Employees Plan,state general employees,State General Employees,NE PERS State Division,"hired on or after January 1, 2007",GR,"Optional fixed 2.5%, simple",,Linked to funded status,,Automatic,1,Return Upside Share,Yes,0,,,0.05,0,0,0,
29010100,Nevada,Nevada Public Employees Retirement System,Public Employees’ Retirement System of Nevada - Regular Subfund,state and local general employees,"State General Employees, Local General Employees",NV PERS General,"hired on or after January 1, 2010",FAS,"Up to 3%, simple",0,Linked to inflation,0.0225,Automatic,0,,No,0,,,,1,0,0,
29010200,Nevada,Nevada Public Employees Retirement System,Public Employees’ Retirement System of Nevada - Regular Subfund,public school teachers,Public School Teachers,NV PERS Teachers,"hired on or after January 1, 2010",FAS,"Up to 3%, simple",0,Linked to inflation,0.0225,Automatic,0,,No,0,,,,1,0,0,
29010300,Nevada,Nevada Public Employees Retirement System,Public Employees’ Retirement System of Nevada - Police and Firefighters Subfund,state and local police and firefighters,"State Police and Firefighters, Local Police and Firefighters",NV PERS Police & Fire,"hired on or after January 1, 2010",FAS,"Up to 3%, simple",0,Linked to inflation,0.0225,Automatic,0,,No,0,,,,1,0,0,
30010100,New Hampshire,New Hampshire Retirement System,New Hampshire Retirement System,state and local general employees,"State General Employees, Local General Employees",NH RS General,"hired on or after July 1, 2011",FAS,No COLA,0,Ad hoc,0,Ad Hoc,0,,Yes,0,,,,0,0,0,
30010200,New Hampshire,New Hampshire Retirement System,New Hampshire Retirement System,public school teachers,Public School Teachers,NH RS Teachers,"hired on or after July 1, 2011",FAS,No COLA,0,Ad hoc,0,Ad Hoc,0,,Yes,0,,,,0,0,0,
30010300,New Hampshire,New Hampshire Retirement System,New Hampshire Retirement System,state and local police,"State Police, Local Police",NH RS Police Class,"hired on or after July 1, 2011",FAS,No COLA,0,Ad hoc,0,Ad Hoc,0,,Yes,0,,,,0,0,0,
30010400,New Hampshire,New Hampshire Retirement System,New Hampshire Retirement System,state and local firefighters,"State Firefighters, Local Firefighters",NH RS Fire Class,"hired on or after July 1, 2011",FAS,No COLA,0,Ad hoc,0,Ad Hoc,0,,Yes,0,,,,0,0,0,
31010105,New Jersey,New Jersey Public Employees’ Retirement System,New Jersey Public Employees' Retirement System - State Plan,state general employees,State General Employees,NJ PERS State Division Tier 5,"hired on or after June 28, 2011",FAS,No COLA (currently suspended),0,No COLA,0,Automatic,0,Suspended COLA Due to Funded Status is Not Defined as Risk-Sharing,Yes,0,,,,1,0,0,
31010205,New Jersey,New Jersey Public Employees’ Retirement System,New Jersey Public Employees' Retirement System - Local Plan,local general employees,Local General Employees,NJ PERS Local Division Tier 5,"hired on or after June 28, 2011",FAS,No COLA (currently suspended),0,No COLA,0,Automatic,0,Suspended COLA Due to Funded Status is Not Defined as Risk-Sharing,Yes,0,,,,1,0,0,
31020103,New Jersey,New Jersey Police & Fire Retirement System,New Jersey Police & Firemen’s Retirement System - State Division,state public safety employees,State Public Safety Employees,NJ PFRS State Division Tier 3,"hired on or after June 28, 2011",FAS,No COLA (currently suspended),0,No COLA,0,Automatic,0,Suspended COLA Due to Funded Status is Not Defined as Risk-Sharing,Yes,0,,,,1,0,0,
31020203,New Jersey,New Jersey Police & Fire Retirement System,New Jersey Police & Firemen’s Retirement System - Local Division,local public safety employees,Local Public Safety Employees,NJ PFRS Local Division Tier 3,"hired on or after June 28, 2011",FAS,No COLA (currently suspended),0,No COLA,0,Automatic,0,Suspended COLA Due to Funded Status is Not Defined as Risk-Sharing,Yes,0,,,,1,0,0,
31030105,New Jersey,New Jersey Teachers Retirement System,New Jersey Teachers’ Pension & Annuity Fund,public school teachers,Public School Teachers,NJ TPAF,"hired on or after June 28, 2011",FAS,No COLA (currently suspended),0,No COLA,0,No provision,0,Suspended COLA Due to Funded Status is Not Defined as Risk-Sharing,Yes,0,,,,1,0,0,
31040102,New Jersey,State Police Retirement System of New Jersey,State Police Retirement System of New Jersey,state police,State Police,NJ SPRS Tier 2,"hired on or after May 21, 2010",FAS,No COLA (currently suspended),0,No COLA,0,Automatic,0,Suspended COLA Due to Funded Status is Not Defined as Risk-Sharing,No,0,,,,1,0,0,
32010100,New Mexico,New Mexico Education Retirement Board,New Mexico Educational Retirement Board,public school teachers,Public School Teachers,NM ERB,"hired on or after July 1 , 2013",FAS,"Up to 2%, simple",0,Linked to inflation,0.015,Automatic,0,,Yes,0,,,,0,0,0,
32020102,New Mexico,New Mexico Public Employees Retirement Association,New Mexico Public Employees Retirement Association,state general employees,State General Employees,NM PERA State General,"hired on or after July 1, 2013",FAS,"Fixed 2%, compounded",1,Fixed,0.02,Automatic,1,Auto-Adjusted COLA Pegged to Funded Status,Yes,0,,,,1,0,0,
32020202,New Mexico,New Mexico Public Employees Retirement Association,New Mexico Public Employees Retirement Association,local general employees,Local General Employees,NM PERA Municipal Plan 1,"hired on or after July 1, 2013",FAS,"Fixed 2%, compounded",1,Fixed,0.02,Automatic,1,Auto-Adjusted COLA Pegged to Funded Status,Yes,0,,,,1,0,0,
32020302,New Mexico,New Mexico Public Employees Retirement Association,New Mexico Public Employees Retirement Association,local general employees,Local General Employees,NM PERA Municipal Plan 2,"hired on or after July 1, 2013",FAS,"Fixed 2%, compounded",1,Fixed,0.02,Automatic,1,Auto-Adjusted COLA Pegged to Funded Status,Yes,0,,,,1,0,0,
32020402,New Mexico,New Mexico Public Employees Retirement Association,New Mexico Public Employees Retirement Association,state police,State Police,NM PERA State Police,"hired on or after July 1, 2013",FAS,"Fixed 2%, compounded",1,Fixed,0.02,Automatic,1,Auto-Adjusted COLA Pegged to Funded Status,Yes,0,,,,1,0,0,
32020502,New Mexico,New Mexico Public Employees Retirement Association,New Mexico Public Employees Retirement Association,correctional officers,Correctional Officers,NM PERA State Corrections,"hired on or after July 1, 2013",FAS,"Fixed 2%, compounded",1,Fixed,0.02,Automatic,1,Auto-Adjusted COLA Pegged to Funded Status,Yes,0,,,,1,0,0,
32020602,New Mexico,New Mexico Public Employees Retirement Association,New Mexico Public Employees Retirement Association,local police,Local Police,NM PERA Municipal Police,"hired on or after July 1, 2013",FAS,"Fixed 2%, compounded",1,Fixed,0.02,Automatic,1,Auto-Adjusted COLA Pegged to Funded Status,Mixed,0,,,,1,0,0,
32020702,New Mexico,New Mexico Public Employees Retirement Association,New Mexico Public Employees Retirement Association,local firefighters,Local Firefighters,NM PERA Municipal Fire,"hired on or after July 1, 2013",FAS,"Fixed 2%, compounded",1,Fixed,0.02,Automatic,1,Auto-Adjusted COLA Pegged to Funded Status,Mixed,0,,,,1,0,0,
33010106,New York,New York State & Local - Employees Retirement System,New York State and Local Retirement System - Employees’ Retirement System,state and local general employees,"State General Employees, Local General Employees",NY SLRS ERS General,"hired on or after April 1, 2012",FAS,"Up to 3%, compounded, limited to first $18,000",1,Linked to inflation,0.0225,Automatic,0,,Yes,0,,,,1,0,0,
33010206,New York,New York State & Local - Police and Fire Retirement System,New York State and Local Retirement System - Police and Fire Retirement System,state and local police and firefighters,"State Police and Firefighters, Local Police and Firefighters",NY SLRS Police & Fire,"hired on or after April 1, 2012",FAS,"Up to 3%, compounded, limited to first $18,000",1,Linked to inflation,0.0225,Automatic,0,,Yes,0,,,,0,0,0,
33020106,New York,New York State Teachers Retirement System,New York State Teachers’ Retirement System,public school teachers,Public School Teachers,NY STRS,"hired on or after April 1, 2012",FAS,"Up to 3%, compounded, limited to first $18,000",1,Linked to inflation,0.0225,Automatic,0,,Yes,0,,,,1,0,0,
34010100,North Carolina,North Carolina Local Government Employees’ Retirement System,North Carolina Local Government Employees’ Retirement System,local general employees,Local General Employees,NC LGERS General,"hired on or after August 1, 2011",FAS,"Up to 4%, simple",0,Linked to inflation,0.03,Ad hoc,0,,Yes,0,,,,1,0,0,
34010200,North Carolina,North Carolina Local Government Employees’ Retirement System,North Carolina Local Government Employees’ Retirement System,local police,Local Police,NC LGERS Police,"hired on or after August 1, 2011",FAS,"Up to 4%, simple",0,Linked to inflation,0.03,Ad hoc,0,,Yes,0,,,,1,0,0,
34010300,North Carolina,North Carolina Local Government Employees’ Retirement System,North Carolina Local Government Employees’ Retirement System,local firefighters,Local Firefighters,NC LGERS Fire,"hired on or after August 1, 2011",FAS,"Up to 4%, simple",0,Linked to inflation,0.03,Ad hoc,0,,Yes,0,,,,1,0,0,
34020100,North Carolina,North Carolina Teachers and State Employees’ Retirement System,North Carolina Teachers' and State Employees' Retirement System,public school teachers,Public School Teachers,NC TSERS Teachers,"hired on or after August 1, 2011",FAS,Ad hoc amount,0,Linked to inflation,0,Ad hoc,0,,Yes,0,,,,1,0,0,
34020200,North Carolina,North Carolina Teachers and State Employees’ Retirement System,North Carolina Teachers' and State Employees' Retirement System,public school non-instructional employees,Public School Non-Instructional,NC TSERS Other Education,"hired on or after August 1, 2011",FAS,Ad hoc amount,0,Linked to inflation,0,Ad hoc,0,,Yes,0,,,,1,0,0,
34020300,North Carolina,North Carolina Teachers and State Employees’ Retirement System,North Carolina Teachers' and State Employees' Retirement System,state general employees,State General Employees,NC TSERS General,"hired on or after August 1, 2011",FAS,Ad hoc amount,0,Linked to inflation,0,Ad hoc,0,,Yes,0,,,,1,0,0,
34020400,North Carolina,North Carolina Teachers and State Employees’ Retirement System,North Carolina Teachers' and State Employees' Retirement System,state police,State Police,NC TSERS Law Enforcement,"hired on or after August 1, 2011",FAS,Ad hoc amount,0,Linked to inflation,0,Ad hoc,0,,Yes,0,,,,1,0,0,
35010030,North Dakota,North Dakota Public Employees Retirement System,North Dakota Public Employees Retirement System Defined Contribution Plan,state and local general employees,"State General Employees, Local General Employees",ND PERS DC,"hired on or after January 1, 2020",DC,,,,,,0,DC Plan Has No Risk,Yes,2,"35010100, 35010200, 35010300",1,,1,0,0,0
35010100,North Dakota,North Dakota Public Employees Retirement System,North Dakota Public Employees Retirement System,state general employees,State General Employees,ND PERS State,"hired on or after January 1, 2020",FAS,No COLA,0,No COLA,0,No provision,0,,Yes,1,35010030,,,1,0,0,
35010200,North Dakota,North Dakota Public Employees Retirement System,North Dakota Public Employees Retirement System,local general employees,Local General Employees,ND PERS Local,"hired on or after January 1, 2020",FAS,No COLA,0,No COLA,0,No provision,0,,Mixed,1,35010030,,,1,0,0,
35010300,North Dakota,North Dakota Public Employees Retirement System,North Dakota Public Employees Retirement System,state and local public safety employees,"State Public Safety Employees, Local Public Safety Employees",ND PERS Public Safety,"hired on or after January 1, 2020",FAS,No COLA,0,No COLA,0,No provision,0,,Yes,1,35010030,,,1,0,0,
35020100,North Dakota,North Dakota Teachers Retirement System,North Dakota Teachers' Fund for Retirement,public school teachers,Public School Teachers,ND Teachers,"hired on or after July 1, 2008 and retire after July 1, 2013",FAS,No COLA,0,Ad hoc,0,Ad hoc,0,,Yes,0,,,,0,0,0,
36010100,Ohio,Ohio Police and Fire Pension Fund,Ohio Police and Fire Pension Fund,state and local police and firefighters,"State Police and Firefighters, Local Police and Firefighters",OH PFPF Police & Fire,"hired on or after July 1, 2013",FAS,"Up to 3%, simple",0,Linked to inflation,0.0225,Automatic,0,,No,0,,,,1,0,0,
36020100,Ohio,Ohio Public Employees Retirement System,Ohio Public Employees' Retirement System,state and local general employees,"State General Employees, Local General Employees",OH PERS Pension State & Local Classes,"hired on or after January 1, 2013",FAS,"Up to 3%, simple",0,Linked to inflation,0.0225,Automatic,0,,No,1,"36020130, 36020190",,,1,0,0,
36020130,Ohio,Ohio Public Employees Retirement System,Ohio Public Employees Member-Directed Plan,state and local general employees,"State General Employees, Local General Employees",OH PERS DC State & Local Classes,"hired on or after January 1, 2003",DC,,,,,,0,DC Plan Has No Risk,No,2,"36020100, 36020190",1,,1,0,0,1
36020190,Ohio,Ohio Public Employees Retirement System,Ohio Public Employees Combined Plan,state and local general employees,"State General Employees, Local General Employees",OH PERS Hybrid State & Local Classes,"hired on or after January 1, 2003",Hybrid,"Up to 3%, simple",0,Linked to inflation,0.0225,Automatic,1,Hybrid Plan,No,2,"36020100, 36020130",1,,1,0,0,
36020200,Ohio,Ohio Public Employees Retirement System,Ohio Public Employees' Retirement System,state and local police,"State Police, Local Police",OH PERS Pension State & Local Law Enforcement,"hired on or after January 1, 2013",FAS,"Up to 3%, simple",0,Linked to inflation,0.0225,Automatic,0,,No,1,"36020230, 36020290, 36020330, 36020390",,,1,0,0,
36020230,Ohio,Ohio Public Employees Retirement System,Ohio Public Employees Member-Directed Plan,state and local police,"State Police, Local Police",OH PERS DC Law Enforcement Class,"hired on or after January 1, 2003",DC,,,,,,0,DC Plan Has No Risk,No,2,"36020200, 36020290",1,,1,0,0,1
36020290,Ohio,Ohio Public Employees Retirement System,Ohio Public Employees Combined Plan,state and local police,"State Police, Local Police",OH PERS Hybrid Law Enforcement Class,"hired on or after January 1, 2003",Hybrid,"Up to 3%, simple",0,Linked to inflation,0.0225,Automatic,1,Hybrid Plan,No,2,"36020200, 36020230",1,,1,0,0,
36020330,Ohio,Ohio Public Employees Retirement System,Ohio Public Employees Member-Directed Plan,state and local public safety employees,"State Public Safety Employees, Local Public Safety Employees",OH PERS DC Public Safety Class,"hired on or after January 1, 2003",DC,"Up to 3%, simple",0,Linked to inflation,0.0225,Automatic,0,DC Plan Has No Risk,No,2,"36020200, 36020390",1,,1,0,0,1
36020390,Ohio,Ohio Public Employees Retirement System,Ohio Public Employees Combined Plan,state and local public safety employees,"State Public Safety Employees, Local Public Safety Employees",OH PERS Hybrid Public Safety Class,"hired on or after January 1, 2003",Hybrid,"Up to 3%, simple",0,Linked to inflation,0.0225,Automatic,1,Hybrid Plan,No,2,"36020200, 36020330",1,,1,0,0,
36030100,Ohio,Ohio School Employees' Retirement System,Ohio School Employees' Retirement System,state general employees,State General Employees,OH SERS,"retire after August 1, 2017",FAS,"Up to 3%, simple",0,Linked to inflation,0.01875,Ad Hoc,0,,No,0,,,,1,0,0,
36040100,Ohio,Ohio State Teachers Retirement System,Ohio State Teachers' Retirement System,public school teachers,Public School Teachers,OH STRS Pension,"Retire after August 1, 2026",FAS,"Up to 3%, simple",0,Linked to inflation,0.01875,Ad Hoc,0,,No,1,"36040130, 36040190",,,1,0,0,
36040130,Ohio,Ohio State Teachers Retirement System,Ohio Teachers Defined Contribution Plan,public school teachers,Public School Teachers,OH STRS DC,"hired on or after July 1, 2002",DC,,,,,,0,DC Plan Has No Risk,No,2,"36040100, 36040190",1,,1,0,0,1
36040190,Ohio,Ohio State Teachers Retirement System,Ohio Teachers Combined Plan,public school teachers,Public School Teachers,OH STRS Hybrid,"hired on or after July 1, 2002",Hybrid,No COLA,0,No COLA,0,No provision,1,Hybrid Plan,No,2,"36040100, 36040130",1,,1,0,0,
37010100,Oklahoma,Oklahoma Law Enforcement Retirement System,Oklahoma Law Enforcement Retirement System,state and local police,"State Police, Local Police",OK LERS Law Enforcement,"hired on or after May 13, 2013",FAS,Ad hoc amount,0,Ad hoc,0,Ad Hoc,0,,Yes,0,,,,0,0,0,
37020100,Oklahoma,Oklahoma Police Pension & Retirement System,Oklahoma Police Pension and Retirement System,state and local police,"State Police, Local Police",OK PPRS Police,"hired on or after July 1, 2013",FAS,Ad hoc amount,0,Ad hoc,0,Ad Hoc,0,,Yes,0,,,,0,0,0,
37030130,Oklahoma,Oklahoma Public Employees Retirement System,Oklahoma Pathfinder Defined Contribution Plan,state and local general employees,"State General Employees, Local General Employees",OK PERS DC Regular,"hired on or after November 1, 2015",DC,,,,,,0,DC Plan Has No Risk,Yes,0,,0,,0,0,0,0
