EquableClassID,State,Retirement System Name,Plan_FullName,Mortality_Category,Class_Name,Plan Type ,ARR,DiscRate,Inflation,FAS_EECont1,FAS_EECont1_YOS,FAS_EECont2,FAS_EECont2_YOS,FAS_Vest,FAS_EMCont,FAS Retirement Eligibility: Normal (Age/Years of Service),FAS_Retire25,FAS_Retire40,FAS_Years,FAS_Multiplier1,FAS_Multiplier1_YOS,FAS_Multiplier2,FAS_Multiplier2_YOS,FAS_Multiplier3,FAS_Multiplier3_YOS,FAS_Multiplier4,FAS_Multiplier4_YOS,FAS_Multiplier5,FAS_Multiplier5_YOS,FAS_Additive_Multipliers,FAS_CompoundCOLA,FAS_COLARate,FAS_CreditingRate,SSA_Enroll,DCGR_EECont,DCGR_EECont1_YOS,DCGR_ERCont1,DCGR_ERCont1_YOS,DCGR_ERCont2,DCGR_ERCont2_YOS,DCGR_ERCont3,DCGR_ERCont3_YOS,DCGR_ERCont4,DCGR_ERCont4_YOS,DCGR_FullVest,DCGR_GradeVest,DCGR_Grade1,DCGR_Grade1_YOS,DCGR_Grade2,DCGR_Grade2_YOS,DCGR_Grade3,DCGR_Grade3_YOS,DCGR_Grade4,DCGR_Grade4_YOS,DCGR_Grade5,DCGR_Grade5_YOS,DCGR_Grade6,DCGR_Grade6_YOS,DCGR_Grade7,DCGR_Grade7_YOS,DCGR_Grade8,DCGR_Grade8_YOS,DCGR_Grade9,DCGR_Grade9_YOS,DCGR_Grade10,DCGR_Grade10_YOS,GR_CreditingRate,FAS_Max_Pensionable_Salary,FAS_Replacement_Cap
7020100,Connecticut,Connecticut State Employees Retirement System,Connecticut State Employees Retirement System,General,CT SERS Non-Hazardous,FAS,0.0690,0.0690,0.0350,0.02000,99,,,10,0.0638,63/25; 65/10,63,65,5,0.01625,99,,,,,,,,,0,0,0.0200,0.0500,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
7020200,Connecticut,Connecticut State Employees Retirement System,Connecticut State Employees Retirement System,Public Safety,CT SERS Hazardous,FAS,0.0690,0.0690,0.0350,0.05000,99,,,10,0.0638,Any/20,45,60,5,0.02500,21,0.0200,99,,,,,,,1,0,0.0200,0.0500,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
7030100,Connecticut,Connecticut Teachers Retirement System,Connecticut State Teachers’ Retirement System,Teachers,CT TRS,FAS,0.0690,0.0690,0.0275,0.08250,99,,,10,0.0456,60/20; Any/35,60,60,3,0.02000,99,,,,,,,,,0,0,0.0300,0.0600,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.75
8010100,Delaware,Delaware State Employees Retirement System,Delaware State Employees’ Pension Plan,General,DE SEPP General,FAS,0.0700,0.0700,0.0250,0.05000,99,,,10,0.0644,65/10; 60/20; Any/30,55,60,3,0.01850,99,,,,,,,,,0,0,0.0000,0.0350,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
8010200,Delaware,Delaware State Employees Retirement System,Delaware State Employees’ Pension Plan,Teachers,DE SEPP Teachers,FAS,0.0700,0.0700,0.0250,0.05000,99,,,10,0.0644,65/10; 60/20; Any/30,55,60,3,0.01850,99,,,,,,,,,0,0,0.0000,0.0350,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
9010103,District of Columbia,District of Columbia Police Officers' and Firefighters' Retirement System,District of Columbia Police Officers and Fire Fighters' Retirement Fund,Public Safety,DC POFRF Fire,FAS,0.0650,0.0650,0.0350,0.08000,99,,,5,0.2109,Any/25; 60/Any,50,60,3,0.02500,99,,,,,,,,,0,1,0.0225,0.0000,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.8
9010203,District of Columbia,District of Columbia Police Officers' and Firefighters' Retirement System,District of Columbia Police Officers and Fire Fighters' Retirement Fund,Public Safety,DC POFRF Police,FAS,0.0650,0.0650,0.0350,0.08000,99,,,5,0.2109,Any/25; 60/Any,50,60,3,0.02500,99,,,,,,,,,0,1,0.0225,0.0000,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.8
9020100,District of Columbia,District of Columbia Teachers Retirement System,District of Columbia Teachers' Retirement Fund,Teachers,DC TRP,FAS,0.0650,0.0650,0.0350,0.08000,99,,,5,0.0755,62/5; 60/20; Any/30,55,60,3,0.02000,99,,,,,,,,,0,1,0.0225,0.0000,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
10010100,Florida,Florida Retirement System,Florida Retirement System - Defined Benefit Plan,General,FL RS Pension Regular Class Non-K-12,FAS,0.0720,0.0720,0.0260,0.03000,99,,,8,0.049335951,65/8,65,65,8,0.01600,26,0.0163,27,0.0165,28,0.0168,99,,,0,0,0.0000,0.0000,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
10010130,Florida,Florida Retirement System,Florida Retirement System Investment Plan,Teachers,FL RS DC Regular Class K-12 Teachers,DC,0.0720,0.0720,0.0260,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.0300,99,0.0330,99,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,
10010200,Florida,Florida Retirement System,Florida Retirement System - Defined Benefit Plan,Teachers,FL RS Pension Regular Class K-12 Teachers,FAS,0.0720,0.0720,0.0260,0.03000,99,,,8,0.049335951,65/8,65,65,8,0.01600,26,0.0163,27,0.0165,28,0.0168,99,,,0,0,0.0000,0.0000,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
10010230,Florida,Florida Retirement System,Florida Retirement System Investment Plan,General,FL RS DC Regular Class Non-K-12,DC,0.0720,0.0720,0.0260,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.0300,99,0.0330,99,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,
10020100,Florida,Florida Retirement System,Florida Retirement System - Defined Benefit Plan,Public Safety,FL RS Pension Special Risk Class,FAS,0.0720,0.0720,0.0260,0.03000,99,,,8,0.049335951,60/8; Any/30,55,60,8,0.03000,99,,,,,,,,,0,0,0.0000,0.0000,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
10020130,Florida,Florida Retirement System,Florida Retirement System Investment Plan,Public Safety,FL RS DC Special Risk Class,DC,0.0720,0.0720,0.0260,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.0300,99,0.1100,99,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,
10030100,Florida,Florida Retirement System,Florida Retirement System - Defined Benefit Plan,General,FL RS Pension Elected Officers' Class Judges,FAS,0.0720,0.0720,0.0260,0.03000,99,,,8,0.049335951,65/8,65,65,8,0.01600,26,0.0163,27,0.0165,28,0.0168,99,,,0,0,0.0000,0.0000,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
10030130,Florida,Florida Retirement System,Florida Retirement System Investment Plan,General,FL RS DC Elected Officers' Class Judges,DC,0.0720,0.0720,0.0260,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.0300,99,0.1023,99,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,
10030200,Florida,Florida Retirement System,Florida Retirement System - Defined Benefit Plan,General,FL RS Pension Elected Officers' Class State,FAS,0.0720,0.0720,0.0260,0.03000,99,,,8,0.049335951,65/8,65,65,8,0.01600,26,0.0163,27,0.0165,28,0.0168,99,,,0,0,0.0000,0.0000,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
10030230,Florida,Florida Retirement System,Florida Retirement System Investment Plan,General,FL RS DC Elected Officers' Class State,DC,0.0720,0.0720,0.0260,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.0300,99,0.0638,99,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,
10030300,Florida,Florida Retirement System,Florida Retirement System - Defined Benefit Plan,General,FL RS Pension Elected Officers' Class County & Local,FAS,0.0720,0.0720,0.0260,0.03000,99,,,8,0.049335951,65/8,65,65,8,0.01600,26,0.0163,27,0.0165,28,0.0168,99,,,0,0,0.0000,0.0000,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
10030330,Florida,Florida Retirement System,Florida Retirement System Investment Plan,General,FL RS DC Elected Officers' Class County & Local,DC,0.0720,0.0720,0.0260,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.0300,99,0.0834,99,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,
10040100,Florida,Florida Retirement System,Florida Retirement System - Defined Benefit Plan,General,FL RS Pension Senior Management Class,FAS,0.0720,0.0720,0.0260,0.03000,99,,,8,0.049335951,65/8,65,65,8,0.01600,26,0.0163,27,0.0165,28,0.0168,99,,,0,0,0.0000,0.0000,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
10040130,Florida,Florida Retirement System,Florida Retirement System Investment Plan,General,FL RS DC Senior Management Class,DC,0.0720,0.0720,0.0260,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.0300,99,0.0467,99,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,
10050130,Florida,Florida Retirement System,Florida Retirement System Investment Plan,Public Safety,FL RS DC Special Risk Administrative Class,DC,0.0720,0.0720,0.0260,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.0300,99,0.0495,99,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,
11010190,Georgia,Georgia Employees Retirement System,Georgia State Employees' Pension and Savings Plan,General,GA ERS Hybrid General,Hybrid,0.0730,0.0730,0.0275,0.01250,99,,,10,0.04749,60/10; Any/30,55,60,2,0.01000,99,,,,,,,,,0,0,0.0000,0.0400,Yes,0.0500,99,0.0300,99,,,,,,,5,1,0.2,2,0.4,3,0.6,4,0.8,5,1,6,,,,,,,,,,,,230000,99
11010290,Georgia,Georgia Employees Retirement System,Georgia State Employees' Pension and Savings Plan,Public Safety,GA ERS Hybrid Safety,Hybrid,0.0730,0.0730,0.0275,0.01250,99,,,10,0.04749,60/10; Any/30,55,60,2,0.01000,99,,,,,,,,,0,0,0.0000,0.0400,Yes,0.0500,99,0.0300,99,,,,,,,5,1,0.2,2,0.4,3,0.6,4,0.8,5,1,6,,,,,,,,,,,,230000,99
11020100,Georgia,Georgia Teachers Retirement System,Georgia Teachers Retirement System,Teachers,GA TRS,FAS,0.0725,0.0725,0.0250,0.06000,99,,,10,0.0777,60/10; Any/30,55,60,2,0.02000,99,,,,,,,,,0,0,0.0225,0.0350,Mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
12010190,Hawaii,Hawaii Employees Retirement System,Employees’ Retirement System of the State of Hawaii,General,HI ERS General,Hybrid,0.0700,0.0700,0.0250,0.00000,99,,,10,0.0782,60/30; 65/10,60,65,5,0.01750,99,,,,,,,,,0,0,0.0150,0.0450,Yes,0.0800,99,0.0000,99,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0.0200,230000,99
12010290,Hawaii,Hawaii Employees Retirement System,Employees’ Retirement System of the State of Hawaii,Teachers,HI ERS Teachers,Hybrid,0.0700,0.0700,0.0250,0.00000,99,,,10,0.0782,60/30; 65/10,60,65,5,0.01750,99,,,,,,,,,0,0,0.0150,0.0450,Yes,0.0800,99,0.0000,99,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0.0200,230000,99
12010300,Hawaii,Hawaii Employees Retirement System,Employees’ Retirement System of the State of Hawaii,Public Safety,HI ERS Police & Fire,FAS,0.0700,0.0700,0.0250,0.14200,99,,,10,0.0782,60/10,60,60,5,0.02250,99,,,,,,,,,0,0,0.0150,0.0450,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
13010100,Idaho,Idaho Public Employees Retirement System,Public Employee Retirement System of Idaho,General,ID PERSI General,FAS,0.0700,0.0700,0.0300,0.07160,99,,,5,0.079,65/5; Age + YOS = 90,58,65,3.5,0.02000,99,,,,,,,,,0,0,0.0100,0.0252,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
13010200,Idaho,Idaho Public Employees Retirement System,Public Employee Retirement System of Idaho,Teachers,ID PERSI Teachers,FAS,0.0700,0.0700,0.0300,0.07160,99,,,5,0.079,65/5; Age + YOS = 90,58,65,3.5,0.02000,99,,,,,,,,,0,0,0.0100,0.0252,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
13010300,Idaho,Idaho Public Employees Retirement System,Public Employee Retirement System of Idaho,Public Safety,ID PERSI Police & Fire,FAS,0.0700,0.0700,0.0300,0.08810,99,,,5,0.079,60/5; Age + YOS = 80,53,60,3.5,0.02300,99,,,,,,,,,0,0,0.0100,0.0252,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
14010102,Illinois,Illinois Municipal Retirement System,Illinois Municipal Retirement Fund,General,IL MRF Regular Tier 2 ,FAS,0.0725,0.0725,0.0250,0.04500,99,,,10,0.0561,67/10; 62/35,62,67,8,0.01667,99,,,,,,,,,0,1,0.0225,0.0000,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.75
14010202,Illinois,Illinois Municipal Retirement System,Illinois Municipal Retirement Fund,Public Safety,IL MRF Sheriffs Tier 2 ,FAS,0.0725,0.0725,0.0250,0.07500,99,,,10,0.0561,55/10,55,55,8,0.02500,99,,,,,,,,,0,1,0.0225,0.0000,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.75
14010302,Illinois,Illinois Municipal Retirement System,Illinois Municipal Retirement Fund,General,IL MRF ECO Tier 2 ,FAS,0.0725,0.0725,0.0250,0.04500,99,,,10,0.0561,67/10; 62/35,62,67,8,0.01667,99,,,,,,,,,0,1,0.0225,0.0000,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.8
14020102,Illinois,Illinois State Employees Retirement System,Illinois State Employees Retirement System,General,IL SERS General Tier 2,FAS,0.0675,0.0675,0.0225,0.04000,99,,,10,0.155238789,67/10,67,67,8,0.01670,99,,,,,,,,,0,1,0.0225,0.0000,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.75
14020202,Illinois,Illinois State Employees Retirement System,Illinois State Employees Retirement System,Public Safety,IL SERS Public Safety Tier 2 (SSA Covered),FAS,0.0675,0.0675,0.0225,0.12500,99,,,10,0.155238789,60/20,60,60,8,0.01670,21,0.0200,99,,,,,,,1,1,0.0225,0.0000,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.75
14020203,Illinois,Illinois State Employees Retirement System,Illinois State Employees Retirement System,Public Safety,IL SERS Public Safety Tier 2 (Not SSA Covered),FAS,0.0675,0.0675,0.0225,0.12500,99,,,10,0.155238789,60/20,60,60,8,0.01670,21,0.0300,99,,,,,,,1,1,0.0225,0.0000,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.75
14030100,Illinois,Illinois State University Retirement System,Illinois State University Retirement System,General,IL SURS ,FAS,0.0675,0.0675,0.0225,0.08000,99,,,10,0.1229,67/10,67,67,8,0.02200,99,,,,,,,,,0,1,0.0225,0.0450,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114951.83,0.8
14040102,Illinois,Illinois Teachers Retirement System,Illinois State Teachers' Retirement System,Teachers,IL TRS Tier 2,FAS,0.0700,0.0700,0.0250,0.09000,99,,,10,0.0985,67/10,67,67,8,0.01670,10,0.0220,99,,,,,,,0,1,0.0225,0.0000,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114952,0.75
14050102,Illinois,Judges' Retirement System of Illinois,Judges' Retirement System of Illinois,General,IL JRS,FAS,0.0650,0.0650,0.0225,0.11000,99,,,8,0.1881,67/8,67,67,8,0.03000,99,,,,,,,,,0,0,0.0230,0.0000,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.85
15010100,Indiana,Indiana Public Retirement System,Indiana 1977 Police Officers' and Firefighters' Pension and Disability Fund,Public Safety,IN 1977 Police & Fire,FAS,0.0675,0.0675,0.0225,0.06000,33,0.00,99,20,0.1065,52/20,52,60,1,0.02000,99,,,,,,,,,0,1,0.0200,0.0350,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.76
15020130,Indiana,Indiana Public Retirement System,Indiana My Choice: Retirement Savings Plan,General,IN PERF DC State,DC,0.0675,0.0675,0.0225,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.0320,99,0.0400,99,,,,,,,5,1,0.2,2,0.4,3,0.6,4,0.8,5,1,6,,,,,,,,,,,,,
15020190,Indiana,Indiana Public Retirement System,Indiana Public Employees Retirement Fund,General,IN PERF Hybrid State,Hybrid,0.0675,0.0675,0.0225,0.00000,99,,,10,0.0394,65/10; 60/15; age 55 and age + YOS = 85,55,60,5,0.01100,99,,,,,,,,,0,1,0.0060,0.0259,Yes,0.0300,99,0.0000,99,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,230000,99
15020230,Indiana,Indiana Public Retirement System,Indiana My Choice: Retirement Savings Plan,General,IN PERF DC Local,DC,0.0675,0.0675,0.0225,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.0320,99,0.0400,99,,,,,,,5,1,0.2,2,0.4,3,0.6,4,0.8,5,1,6,,,,,,,,,,,,,
15020290,Indiana,Indiana Public Retirement System,Indiana Public Employees Retirement Fund,General,IN PERF Hybrid Local,Hybrid,0.0675,0.0675,0.0225,0.00000,99,,,10,0.0394,65/10; 60/15; age 55 and age + YOS = 85,55,60,5,0.01100,99,,,,,,,,,0,1,0.0060,0.0259,Yes,0.0300,99,0.0000,99,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,230000,99
15030130,Indiana,Indiana Public Retirement System,Indiana My Choice: Retirement Savings Plan,Teachers,IN TRF DC,DC,0.0675,0.0675,0.0225,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.0300,99,0.0530,99,,,,,,,5,1,0.2,2,0.4,3,0.6,4,0.8,5,1,6,,,,,,,,,,,,,
15030190,Indiana,Indiana Public Retirement System,Indiana State Teachers Retirement Fund - Hybrid Plan,Teachers,IN TRF Hybrid,Hybrid,0.0675,0.0675,0.0225,0.00000,99,,,10,0.0568,65/10; 60/15; age 55 and age + YOS = 85,55,60,5,0.01100,99,,,,,,,,,0,1,0.0060,0.0259,Yes,0.0300,99,0.0000,99,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,230000,99
16010100,Iowa,Iowa Municipal Fire and Police Retirement System,Iowa Municipal Fire and Police Retirement System,Public Safety,IA MFPRS,FAS,0.0750,0.0750,0.0300,0.09400,99,,,4,0.081311221,55/22,55,62,3,0.03000,23,0.0200,99,,,,,,,1,1,0.0150,0.0500,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.82
16020100,Iowa,Iowa Public Employees Retirement System,Iowa Public Employees' Retirement System,General,IA PERS General,FAS,0.0700,0.0700,0.0260,0.05780,99,,,7,0.0411,62/20; 65/7; 55 and AGE + YOS = 88; 70 and still working for IPERS,57,62,5,0.02000,31,0.0100,99,,,,,,,1,0,0.0000,0.0350,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.65
16020200,Iowa,Iowa Public Employees Retirement System,Iowa Public Employees' Retirement System,General,IA PERS Other Misc,FAS,0.0700,0.0700,0.0260,0.05780,99,,,7,0.0411,62/20; 65/7; 55 and AGE + YOS = 88; 70 and still working for IPERS,57,62,5,0.02000,31,0.0100,99,,,,,,,1,0,0.0000,0.0350,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.65
16020300,Iowa,Iowa Public Employees Retirement System,Iowa Public Employees' Retirement System,Teachers,IA PERS Teachers,FAS,0.0700,0.0700,0.0260,0.05780,99,,,7,0.0411,62/20; 65/7; 55 and AGE + YOS = 88; 70 and still working for IPERS,57,62,5,0.02000,31,0.0100,99,,,,,,,1,0,0.0000,0.0350,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.65
16020400,Iowa,Iowa Public Employees Retirement System,Iowa Public Employees' Retirement System,Public Safety,IA PERS Sheriffs,FAS,0.0700,0.0700,0.0260,0.09900,99,,,4,0.0411,50/22; 55/4,50,55,3,0.02720,23,0.0150,31,0.0000,99,,,,,1,0,0.0000,0.0350,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.72
16020500,Iowa,Iowa Public Employees Retirement System,Iowa Public Employees' Retirement System,Public Safety,IA PERS Protection,FAS,0.0700,0.0700,0.0260,0.06840,99,,,4,0.0411,55/4,55,55,3,0.02720,23,0.0150,31,0.0000,99,,,,,1,0,0.0000,0.0350,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.72
17010160,Kansas,Kansas Public Employees Retirement System - Defined Benefit Plan,Kansas Public Employees Retirement System - State Employees,General,KS PERS State,GR,0.0775,0.0775,0.0275,,,,,0,0.0204,65/5; 60/30,60,65,,,,,,,,,,,,,,,,Yes,0.0600,99,0.0300,5,0.0400,12,0.0500,24,0.0600,99,5,0,,,,,,,,,,,,,,,,,,,,,0.0531,,
17010260,Kansas,Kansas Public Employees Retirement System - Defined Benefit Plan,Kansas Public Employees Retirement System - School Employees,Teachers,KS PERS Schools,GR,0.0775,0.0775,0.0275,,,,,0,0.0238,65/5; 60/30,60,65,,,,,,,,,,,,,,,,Yes,0.0600,99,0.0300,5,0.0400,12,0.0500,24,0.0600,99,5,0,,,,,,,,,,,,,,,,,,,,,0.0531,,
17010360,Kansas,Kansas Public Employees Retirement System - Defined Benefit Plan,Kansas Public Employees Retirement System - Local Employees,General,KS PERS Local,GR,0.0775,0.0775,0.0275,,,,,0,0.0193,65/5; 60/30,60,65,,,,,,,,,,,,,,,,Yes,0.0600,99,0.0300,5,0.0400,12,0.0500,24,0.0600,99,5,0,,,,,,,,,,,,,,,,,,,,,0.0531,,
17020100,Kansas,Kansas Police and Firefighter's Retirement System,Kansas Police and Firefighter's Retirement System,Public Safety,KS PFRS,FAS,0.0775,0.0775,0.0275,0.07000,33,0.02,99,15,0.0792,60/15; 55/20; 50/25,50,60,3,0.02500,99,,,,,,,,,0,0,0.0000,0.0400,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,0.9
17030100,Kansas,Kansas Public Employees Retirement System - Defined Benefit Plan,Kansas Retirement System for Judges,General,KS JRS,FAS,0.0775,0.0775,0.0275,0.06000,41,0.02,99,0,0.1377,65 or 62/10 ir Age+ Credited Service = 85,62,63,3,0.03500,99,,,,,,,,,0,0,0.0000,0.0400,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
18010163,Kentucky,Kentucky Retirement System,Kentucky County Employees' Retirement System - Hazardous,Public Safety,KY CERS Hazardous Tier 3,GR,0.0625,0.0625,0.0230,,,,,,,60/5 or Any/25,50,60,,,,,,,,,,,,,0,0.0000,0.0400,Yes,0.0800,99,0.0750,99,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,0.0569,,
18010263,Kentucky,Kentucky Retirement System,Kentucky County Employees' Retirement System - Non-Hazardous,General,KY CERS Non-Hazardous Tier 3,GR,0.0625,0.0625,0.0230,,,,,,,65/5 or Rule of 87,57,65,,,,,,,,,,,,,0,0.0000,0.0400,Yes,0.0500,99,0.0400,99,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,0.0569,,
18020163,Kentucky,Kentucky Retirement System,Kentucky Employees Retirement System - Hazardous,Public Safety,KY ERS Hazardous Tier 3,GR,0.0625,0.0625,0.0230,,,,,,,60/5 or Any/25,50,60,,,,,,,,,,,,,0,0.0000,0.0400,Yes,0.0800,99,0.0750,99,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,0.0569,,
18020263,Kentucky,Kentucky Retirement System,Kentucky Employees Retirement System - Non-Hazardous,General,KY ERS Non-Hazardous Tier 3,GR,0.0625,0.0625,0.0230,,,,,,,65/5 or Rule of 87,57,65,,,,,,,,,,,,,0,0.0000,0.0400,Yes,0.0500,99,0.0400,99,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,0.0569,,
18030163,Kentucky,Kentucky State Police Retirement System,Kentucky State Police Retirement System,Public Safety,KY SPRS Tier 3,GR,0.0525,0.0525,0.0230,,,,,,,60/5 or Any/25,50,60,,,,,,,,,,,,,0,0.0000,0.0400,Yes,0.0800,99,0.0750,99,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,0.0494,,
18040100,Kentucky,Kentucky Teachers Retirement System,Kentucky Teachers' Retirement System,Teachers,KY TRS K-12,FAS,0.0750,0.0750,0.0300,0.10855,99,,,5,0.05835,60/5; Any/27,52,60,5,0.01700,11,0.0200,21,0.0230,27,0.0250,31,0.0300,99,0,0,0.0150,0.0250,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
18040200,Kentucky,Kentucky Teachers Retirement System,Kentucky Teachers' Retirement System,General,KY TRS Higher-Ed,FAS,0.0750,0.0750,0.0300,0.10855,99,,,5,0.05835,60/5; Any/27,52,60,5,0.01500,11,0.0170,21,0.0185,27,0.0200,99,,,0,0,0.0150,0.0250,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,99
19010100,Louisiana,Louisiana Parochial Employees’ Retirement System,Louisiana State Parochial Employees Retirement System,General,LA Parochial Plan A,FAS,0.0650,0.0650,0.0240,0.09500,99,,,7,0.127924059,67/7; 62/10; 30/55,55,62,5,0.03000,99,,,,,,,,,0,0,0.0200,0.0000,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
19010200,Louisiana,Louisiana Parochial Employees’ Retirement System,Louisiana State Parochial Employees Retirement System,General,LA Parochial Plan B,FAS,0.0650,0.0650,0.0240,0.03000,99,,,7,0.127924059,67/7; 62/10; 30/55,55,62,5,0.02000,99,,,,,,,,,0,0,0.0200,0.0000,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
19020100,Louisiana,Louisiana School Employees' Retirement System,Louisiana School Employees' Retirement System,Teachers,LA Schools,FAS,0.0706,0.0700,0.0250,0.08000,99,,,5,0.0776,62/5,62,62,5,0.02500,99,,,,,,,,,0,0,0.0150,0.0000,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
19040100,Louisiana,Louisiana State Employees Retirement System,Louisiana State Employees' Retirement System,General,LA SERS Regular,FAS,0.0760,0.0760,0.0250,0.08050,99,,,5,0.0372,62/5,62,62,5,0.02500,99,,,,,,,,,0,0,0.0000,0.0000,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
19040200,Louisiana,Louisiana State Employees Retirement System,Louisiana State Employees' Retirement System,General,LA SERS Judges,FAS,0.0760,0.0760,0.0250,0.11500,99,,,5,0.0372,62/5,62,62,5,0.03500,99,,,,,,,,,0,0,0.0000,0.0000,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
19040300,Louisiana,Louisiana State Employees Retirement System,Louisiana State Employees' Retirement System,Public Safety,LA SERS Public Safety,FAS,0.0760,0.0760,0.0250,0.09000,99,,,5,0.0372,55/12; Any/25,50,55,5,0.03330,99,,,,,,,,,0,0,0.0000,0.0000,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,1
