EquableClassID,Plan_FullName,Class_Name,StartingSalary_25,StartingSalary_40
46010400,Vermont Municipal Employees' Retirement System,VT MERS Group D,57599.36,72781.55
46020100,Vermont State Employees' Retirement System,VT SERS General,17829.00,19611.90
46020200,Vermont State Employees' Retirement System,VT SERS Public Safety,41556.84,60039.08
46030100,Vermont State Teachers' Retirement System,VT STRS,44678.57,60924.25
47010190,Virginia Judicial Retirement System - Hybrid Plan,VA JRS,158252.00,161003.59
47010200,Virginia Law Officers’ Retirement System,VA LORS,37465.52,43203.42
47010390,Virginia State Employee Division - Hybrid Plan,VA RS General Hybrid,41066.46,57648.68
47010400,Virginia State Police Officers’ Retirement System,VA SPORS,51228.53,67198.93
47010590,Virginia Teachers Division - Hybrid Plan,VA RS Teachers Hybrid,45036.20,55608.06
48010102,Washington Law Enforcement Officers’ and Firefighters Retirement System - Plan 2,WA LEOFF Plan 2,68246.04,71360.70
48020102,Washington Public Employees’ Retirement System - Plan 2 ,WA PERS Plan 2,42891.86,49174.35
48020293,Washington Public Employees’ Retirement System - Plan 3,WA PERS Hybrid Plan 3,39667.22,48013.80
48030102,Washington Public Safety Employees' Retirement System Plan 2,WA PSERS Plan 2,48384.92,63633.50
48040102,Washington School Employees' Retirement System - Plan 2,WA SERS Pension Plan 2,27589.14,29646.85
48040293,Washington School Employees' Retirement System - Plan 3,WA SERS Hybrid Plan 3,27809.46,29798.53
48050112,Washington State Patrol Retirement System Plan 1 & 2,WA SPRS Plan 1 & 2,62000.00,63680.60
48060102,Washington Teachers Retirement System Plan 2,WA TRS Pension Plan 2,63364.86,67064.66
48060293,Washington Teachers Retirement System Plan 3,WA TRS Hybrid Plan 3,62528.90,73259.74
49010102,West Virginia Public Employees’ Retirement System,WV PERS State General Tier 2,33797.54,35401.83
49010202,West Virginia Public Employees’ Retirement System,WV PERS Local General Tier 2,30037.76,33311.29
49020102,West Virginia Teachers’ Retirement System,WV TRS Teachers Tier 2,38660.88,42047.41
49020202,West Virginia Teachers’ Retirement System,WV TRS General Tier 2,24604.79,24099.25
50010100,Wisconsin Retirement System,WI RS General,40579.03,55450.10
50010200,Wisconsin Retirement System,WI RS Elected,58823.60,85219.74
50010300,Wisconsin Retirement System,WI RS University,40579.03,55450.10
50010400,Wisconsin Retirement System,WI RS Teachers,40579.03,55450.10
50010500,Wisconsin Retirement System,WI RS Safety (SSA Covered),53419.87,69012.04
50010600,Wisconsin Retirement System,WI RS Safety (Not SSA Covered),64515.35,81905.37
51010100,Wyoming Retirement System,WY RS Teachers,36088.31,35936.99
51010200,Wyoming Retirement System,WY RS General,36088.31,35936.99
